fecha,factor_temperatura,factor_humedad,factor_precipitaciones,factor_viento,indice_incendio
11-1997,0.17,0.17,0.6,0.33,0.3365
1-1998,0.26,0.03,0.71,0.29,0.3745
10-1998,0.26,0.26,0.65,0.32,0.4025
11-1998,0.23,0.03,0.8,0.17,0.3835
12-1998,0.48,0.1,0.84,0.16,0.4980
8-1999,0.13,0.32,1.0,0.39,0.4985
9-1999,0.07,0.07,0.9,0.3,0.3835
10-1999,0.16,0.19,0.81,0.16,0.3935
11-1999,0.2,0.17,0.7,0.17,0.3660
12-1999,0.26,0.29,0.77,0.13,0.4315
8-2000,0.03,0.39,1.0,0.32,0.4705
9-2000,0.13,0.47,0.93,0.37,0.5020
10-2000,0.23,0.16,0.74,0.32,0.4035
11-2000,0.17,0.03,0.67,0.3,0.3300
12-2000,0.39,0.03,0.74,0.26,0.4275
7-2001,0.03,0.19,1.0,0.23,0.4215
11-2001,0.23,0.1,0.73,0.23,0.3790
12-2001,0.45,0.03,0.81,0.13,0.4600
4-2002,0.03,0.03,0.8,0.2,0.3165
8-2002,0.03,0.06,0.97,0.19,0.3810
9-2002,0.07,0.43,0.97,0.43,0.4930
10-2002,0.26,0.1,0.84,0.39,0.4440
11-2002,0.43,0.13,0.7,0.57,0.4785
1-2003,0.52,0.06,0.74,0.1,0.4630
2-2003,0.39,0.18,0.71,0.25,0.4460
7-2003,0.03,0.35,0.97,0.29,0.4490
8-2003,0.03,0.45,1.0,0.42,0.4925
9-2003,0.1,0.6,0.93,0.43,0.5235
10-2003,0.32,0.65,0.87,0.52,0.5985
11-2003,0.47,0.53,0.9,0.53,0.6385
12-2003,0.29,0.26,0.74,0.35,0.4475
